Sample	Vial	ID	File	Date	Time	Description	Target	Found	Trace	Time	Peak	Area %Total	Area Abs	BPM	
							330.00	YES	MS ES- :TIC	1.37	6	3.80	699635	311, 321
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.36	6	0.33	110	311, 321
							330.00	YES	MS ES+ :TIC	1.42	7	12.03	85956232	311, 309
							330.00	YES	MS ES- :TIC	1.42	7	4.88	897963	311, 309
							330.00	YES	DAD: TIC	1.41	7	3.81	70553	311, 309
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.41	7	2.80	941	311, 309
							330.00	YES	MS ES+ :TIC	1.57	8	13.17	94157304	455
							330.00	YES	MS ES+ :TIC	1.83	9	46.61	333140832	331, 265
							330.00	YES	MS ES- :TIC	1.84	9	12.93	2379870	331, 265
							330.00	YES	DAD: TIC	1.83	9	81.82	1513434	331, 265
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.83	9	88.74	29827	331, 265
							330.00	YES	MS ES+ :TIC	2.09	11	0.79	5628262	304
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.53	1	0.12	41	213, 207
							330.00	YES	MS ES+ :TIC	0.64	2	16.62	118787688	152, 284
							330.00	YES	DAD: TIC	0.63	2	5.80	107347	152, 284
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.63	2	5.67	1907	152, 284
							330.00	YES	DAD: TIC	0.83	3	1.28	23653	157, 179
							330.00	YES	DAD: TIC	0.97	4	1.54	28501	195, 179
							330.00	YES	MS ES+ :TIC	0.99	5	10.78	77039920	195, 179
							330.00	YES	MS ES- :TIC	0.99	5	1.46	269039	195, 179
							330.00	YES	DAD: TIC	0.99	5	5.74	106242	195, 179
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.98	5	2.33	784	195, 179
							330.00	YES	MS ES- :TIC	1.37	6	3.80	699635	311, 321
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.36	6	0.33	110	311, 321
							330.00	YES	MS ES+ :TIC	1.42	7	12.03	85956232	311, 309
							330.00	YES	MS ES- :TIC	1.42	7	4.88	897963	311, 309
							330.00	YES	DAD: TIC	1.41	7	3.81	70553	311, 309
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.41	7	2.80	941	311, 309
							330.00	YES	MS ES+ :TIC	1.83	9	46.61	333140832	331, 265
							330.00	YES	MS ES- :TIC	1.84	9	12.93	2379870	331, 265
							330.00	YES	DAD: TIC	1.83	9	81.82	1513434	331, 265
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.83	9	88.74	29827	331, 265
							330.00	YES	MS ES- :TIC	2.05	10	67.68	12460644	265
							330.00	YES	MS ES- :TIC	2.16	12	9.26	1704241	311
								
6 	1:1		20210803_006	03-Aug-2021	12:53:57		688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	0.54	1	0.12	42	213, 179
							688.00	NO	MS ES+ :TIC	0.65	2	16.62	120506576	152, 179
							688.00	NO	DAD: TIC	0.65	2	5.79	107046	152, 179
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	0.65	2	5.68	1907	152, 179
							688.00	NO	DAD: TIC	0.84	3	1.28	23688	159, 207
							688.00	NO	DAD: TIC	0.97	4	1.56	28862	195, 207
							688.00	NO	MS ES+ :TIC	0.99	5	10.36	75142552	195, 179
							688.00	NO	DAD: TIC	0.99	5	5.75	106335	195, 179
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	0.99	5	2.34	785	195, 179
							688.00	NO	MS ES+ :TIC	1.26	6	2.25	16351060	239
							688.00	NO	MS ES- :TIC	1.37	7	5.25	920572	311, 309
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	1.36	7	0.33	110	311, 309
							688.00	NO	MS ES+ :TIC	1.42	8	12.52	90782976	311, 309
							688.00	NO	MS ES- :TIC	1.42	8	6.40	1123268	311, 309
							688.00	NO	DAD: TIC	1.41	8	3.83	70727	311, 309
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	1.41	8	2.81	943	311, 309
							688.00	NO	MS ES+ :TIC	1.58	9	13.13	95197856	455
							688.00	NO	MS ES+ :TIC	1.83	10	45.12	327235392	331, 265
							688.00	NO	MS ES- :TIC	1.84	10	13.57	2379689	331, 265
							688.00	NO	DAD: TIC	1.83	10	81.79	1511721	331, 265
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	1.83	10	88.72	29790	331, 265
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	0.54	1	0.12	42	213, 179
							688.00	NO	MS ES+ :TIC	0.65	2	16.62	120506576	152, 179
							688.00	NO	DAD: TIC	0.65	2	5.79	107046	152, 179
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	0.65	2	5.68	1907	152, 179
							688.00	NO	DAD: TIC	0.84	3	1.28	23688	159, 207
							688.00	NO	DAD: TIC	0.97	4	1.56	28862	195, 207
							688.00	NO	MS ES+ :TIC	0.99	5	10.36	75142552	195, 179
							688.00	NO	DAD: TIC	0.99	5	5.75	106335	195, 179
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	0.99	5	2.34	785	195, 179
							688.00	NO	MS ES- :TIC	1.37	7	5.25	920572	311, 309
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	1.36	7	0.33	110	311, 309
							688.00	NO	MS ES+ :TIC	1.42	8	12.52	90782976	311, 309
							688.00	NO	MS ES- :TIC	1.42	8	6.40	1123268	311, 309
							688.00	NO	DAD: TIC	1.41	8	3.83	70727	311, 309
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	1.41	8	2.81	943	311, 309
							688.00	NO	MS ES+ :TIC	1.83	10	45.12	327235392	331, 265
							688.00	NO	MS ES- :TIC	1.84	10	13.57	2379689	331, 265
							688.00	NO	DAD: TIC	1.83	10	81.79	1511721	331, 265
							688.00	NO	 (2) PDA Ch1 254nm@4.8nm-MBF	1.83	10	88.72	29790	331, 265
							688.00	NO	MS ES- :TIC	1.94	11	0.38	66399	312
							688.00	NO	MS ES- :TIC	2.05	12	66.77	11713298	265
							688.00	NO	MS ES- :TIC	2.17	13	7.63	1339102	311
								


